Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [�S/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [�g/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [�mol/(m2*s)],Depth [m],,,
4/1/1980 21:07,1.526,22.769,0.532,1.026,1079.5,998.005,0,3.026,3.026,6.682,8.962,-10.794,100.7,8.631,283.586,1.526,,,
4/1/1980 21:07,1.574,22.766,0.532,1.026,1079.5,998.006,0,3.221,3.221,7.023,8.961,-10.527,100.531,8.617,309.486,1.574,,,
4/1/1980 21:07,1.591,22.766,0.531,1.026,1079.2,998.006,0,3.138,3.138,6.934,8.96,-10.451,100.508,8.615,283.586,1.591,,,
4/1/1980 21:07,1.595,22.768,0.531,1.026,1078.8,998.005,0,3.049,3.049,6.356,8.959,-10.413,100.366,8.603,277.111,1.595,,,
4/1/1980 21:07,1.591,22.774,0.531,1.026,1078.5,998.004,0,3.116,3.116,6.845,8.959,-10.374,100.26,8.594,288.935,1.591,,,
4/1/1980 21:07,1.591,22.775,0.531,1.026,1078.7,998.004,0,3.198,3.198,6.682,8.959,-10.336,100.135,8.583,274.295,1.591,,,
4/1/1980 21:07,1.602,22.775,0.531,1.026,1078.8,998.004,0,3.213,3.213,6.252,8.959,-10.413,100.158,8.586,274.483,1.602,,,
4/1/1980 21:07,1.625,22.768,0.531,1.026,1078.7,998.005,0,3.146,3.146,6.208,8.96,-10.374,100.09,8.58,260.501,1.625,,,
4/1/1980 21:07,1.667,22.766,0.531,1.026,1079,998.006,0,3.176,3.176,6.949,8.96,-10.298,100.036,8.575,267.914,1.667,,,
4/1/1980 21:07,1.702,22.763,0.531,1.026,1079,998.007,0,3.206,3.206,6.86,8.96,-10.184,100.001,8.573,243.328,1.702,,,
4/1/1980 21:07,1.73,22.762,0.531,1.026,1079.1,998.007,0,3.176,3.176,7.186,8.96,-10.069,99.947,8.568,254.964,1.73,,,
4/1/1980 21:07,1.768,22.761,0.532,1.026,1079.4,998.008,0,3.326,3.326,7.156,8.96,-9.993,100.025,8.575,234.319,1.768,,,
